For v2 = (4, 10) we have next coords:
X1	Y1	X2	Y2
0.080000	0.199020	3.980000	0.199020	
0.120000	0.297060	3.970000	0.297060	
0.160000	0.394120	3.960000	0.394120	
0.200000	0.490200	3.950000	0.490200	
0.240000	0.585300	3.940000	0.585300	
0.280000	0.679420	3.930000	0.679420	
0.320000	0.772560	3.920000	0.772560	
0.360000	0.864720	3.910000	0.864720	
0.400000	0.955900	3.900000	0.955900	
0.440000	1.046100	3.890000	1.046100	
0.480000	1.135320	3.880000	1.135320	
0.520000	1.223560	3.870000	1.223560	
0.560000	1.310820	3.860000	1.310820	
0.600000	1.397100	3.850000	1.397100	
0.640000	1.482400	3.840000	1.482400	
0.680000	1.566720	3.830000	1.566720	
0.720000	1.650060	3.820000	1.650060	
0.760000	1.732420	3.810000	1.732420	
0.800000	1.813800	3.800000	1.813800	
0.840000	1.894200	3.790000	1.894200	
0.880000	1.973620	3.780000	1.973620	
0.920000	2.052060	3.770000	2.052060	
0.960000	2.129520	3.760000	2.129520	
1.000000	2.206000	3.750000	2.206000	
1.040000	2.281500	3.740000	2.281500	
1.080000	2.356020	3.730000	2.356020	
1.120000	2.429560	3.720000	2.429560	
1.160000	2.502120	3.710000	2.502120	
1.200000	2.573700	3.700000	2.573700	
1.240000	2.644300	3.690000	2.644300	
1.280000	2.713920	3.680000	2.713920	
1.320000	2.782560	3.670000	2.782560	
1.360000	2.850220	3.660000	2.850220	
1.400000	2.916900	3.650000	2.916900	
1.440000	2.982600	3.640000	2.982600	
1.480000	3.047320	3.630000	3.047320	
1.520000	3.111060	3.620000	3.111060	
1.560000	3.173820	3.610000	3.173820	
1.600000	3.235600	3.600000	3.235600	
1.640000	3.296400	3.590000	3.296400	
1.680000	3.356220	3.580000	3.356220	
1.720000	3.415060	3.570000	3.415060	
1.760000	3.472920	3.560000	3.472920	
1.800000	3.529800	3.550000	3.529800	
1.840000	3.585700	3.540000	3.585700	
1.880000	3.640620	3.530000	3.640620	
1.920000	3.694560	3.520000	3.694560	
1.960000	3.747520	3.510000	3.747520	
2.000000	3.799500	3.500000	3.799500	
2.040000	3.850500	3.490000	3.850500	
2.080000	3.900520	3.480000	3.900520	
2.120000	3.949560	3.470000	3.949560	
2.160000	3.997620	3.460000	3.997620	
2.200000	4.044700	3.450000	4.044700	
2.240000	4.090800	3.440000	4.090800	
2.280000	4.135920	3.430000	4.135920	
2.320000	4.180060	3.420000	4.180060	
2.360000	4.223220	3.410000	4.223220	
2.400000	4.265400	3.400000	4.265400	
2.440000	4.306600	3.390000	4.306600	
2.480000	4.346820	3.380000	4.346820	
2.520000	4.386060	3.370000	4.386060	
2.560000	4.424320	3.360000	4.424320	
2.600000	4.461600	3.350000	4.461600	
2.640000	4.497900	3.340000	4.497900	
2.680000	4.533220	3.330000	4.533220	
2.720000	4.567560	3.320000	4.567560	
2.760000	4.600920	3.310000	4.600920	
2.800000	4.633300	3.300000	4.633300	
2.840000	4.664700	3.290000	4.664700	
2.880000	4.695120	3.280000	4.695120	
2.920000	4.724560	3.270000	4.724560	
2.960000	4.753020	3.260000	4.753020	
3.000000	4.780500	3.250000	4.780500	
3.040000	4.807000	3.240000	4.807000	
3.080000	4.832520	3.230000	4.832520	
3.120000	4.857060	3.220000	4.857060	
3.160000	4.880620	3.210000	4.880620	
3.200000	4.903200	3.200000	4.903200	
For v2 = (7, 10) we have next coords:
X1	Y1	X2	Y2
0.140000	0.199020	3.980000	0.199020	
0.210000	0.297060	3.970000	0.297060	
0.280000	0.394120	3.960000	0.394120	
0.350000	0.490200	3.950000	0.490200	
0.420000	0.585300	3.940000	0.585300	
0.490000	0.679420	3.930000	0.679420	
0.560000	0.772560	3.920000	0.772560	
0.630000	0.864720	3.910000	0.864720	
0.700000	0.955900	3.900000	0.955900	
0.770000	1.046100	3.890000	1.046100	
0.840000	1.135320	3.880000	1.135320	
0.910000	1.223560	3.870000	1.223560	
0.980000	1.310820	3.860000	1.310820	
1.050000	1.397100	3.850000	1.397100	
1.120000	1.482400	3.840000	1.482400	
1.190000	1.566720	3.830000	1.566720	
1.260000	1.650060	3.820000	1.650060	
1.330000	1.732420	3.810000	1.732420	
1.400000	1.813800	3.800000	1.813800	
1.470000	1.894200	3.790000	1.894200	
1.540000	1.973620	3.780000	1.973620	
1.610000	2.052060	3.770000	2.052060	
1.680000	2.129520	3.760000	2.129520	
1.750000	2.206000	3.750000	2.206000	
1.820000	2.281500	3.740000	2.281500	
1.890000	2.356020	3.730000	2.356020	
1.960000	2.429560	3.720000	2.429560	
2.030000	2.502120	3.710000	2.502120	
2.100000	2.573700	3.700000	2.573700	
2.170000	2.644300	3.690000	2.644300	
2.240000	2.713920	3.680000	2.713920	
2.310000	2.782560	3.670000	2.782560	
2.380000	2.850220	3.660000	2.850220	
2.450000	2.916900	3.650000	2.916900	
2.520000	2.982600	3.640000	2.982600	
2.590000	3.047320	3.630000	3.047320	
2.660000	3.111060	3.620000	3.111060	
2.730000	3.173820	3.610000	3.173820	
2.800000	3.235600	3.600000	3.235600	
2.870000	3.296400	3.590000	3.296400	
2.940000	3.356220	3.580000	3.356220	
3.010000	3.415060	3.570000	3.415060	
3.080000	3.472920	3.560000	3.472920	
3.150000	3.529800	3.550000	3.529800	
3.220000	3.585700	3.540000	3.585700	
3.290000	3.640620	3.530000	3.640620	
3.360000	3.694560	3.520000	3.694560	
3.430000	3.747520	3.510000	3.747520	
3.500000	3.799500	3.500000	3.799500	
For v2 = (9, 10) we have next coords:
X1	Y1	X2	Y2
0.180000	0.199020	3.980000	0.199020	
0.270000	0.297060	3.970000	0.297060	
0.360000	0.394120	3.960000	0.394120	
0.450000	0.490200	3.950000	0.490200	
0.540000	0.585300	3.940000	0.585300	
0.630000	0.679420	3.930000	0.679420	
0.720000	0.772560	3.920000	0.772560	
0.810000	0.864720	3.910000	0.864720	
0.900000	0.955900	3.900000	0.955900	
0.990000	1.046100	3.890000	1.046100	
1.080000	1.135320	3.880000	1.135320	
1.170000	1.223560	3.870000	1.223560	
1.260000	1.310820	3.860000	1.310820	
1.350000	1.397100	3.850000	1.397100	
1.440000	1.482400	3.840000	1.482400	
1.530000	1.566720	3.830000	1.566720	
1.620000	1.650060	3.820000	1.650060	
1.710000	1.732420	3.810000	1.732420	
1.800000	1.813800	3.800000	1.813800	
1.890000	1.894200	3.790000	1.894200	
1.980000	1.973620	3.780000	1.973620	
2.070000	2.052060	3.770000	2.052060	
2.160000	2.129520	3.760000	2.129520	
2.250000	2.206000	3.750000	2.206000	
2.340000	2.281500	3.740000	2.281500	
2.430000	2.356020	3.730000	2.356020	
2.520000	2.429560	3.720000	2.429560	
2.610000	2.502120	3.710000	2.502120	
2.700000	2.573700	3.700000	2.573700	
2.790000	2.644300	3.690000	2.644300	
2.880000	2.713920	3.680000	2.713920	
2.970000	2.782560	3.670000	2.782560	
3.060000	2.850220	3.660000	2.850220	
3.150000	2.916900	3.650000	2.916900	
3.240000	2.982600	3.640000	2.982600	
3.330000	3.047320	3.630000	3.047320	
3.420000	3.111060	3.620000	3.111060	
3.510000	3.173820	3.610000	3.173820	
3.600000	3.235600	3.600000	3.235600	
